file,sheet_name,original_row_count,detected_header_row,data_start_row,rows_ingested,rows_dropped,drop_reason,original_col_count,normalized_col_count
Input P&L,Benchmarks,11,0,1,10,0,None,2,2
Input P&L,P&L Summary,47,0,1,46,0,None,2,2
Input P&L,OPEX - NEmpl.,1892,1,2,1890,1,Non-data rows before header (rows 0-1),6,6
Input P&L,COGS - NEmpl.,851,1,2,849,1,Non-data rows before header (rows 0-1),6,6
Input P&L,Empl.,461,2,3,458,2,Non-data rows before header (rows 0-2),7,7
Input P&L,RecurringRevenue,2115,2,3,2112,2,Non-data rows before header (rows 0-2),4,4
Input P&L,PSORevenue,326,2,3,323,2,Non-data rows before header (rows 0-2),4,4
Input P&L,PerpetualRevenue,87,2,3,84,2,Non-data rows before header (rows 0-2),4,4
Central Finance Roles,Finance Roles,6,0,1,5,0,None,4,4
